id,name,country,type
1,Florian Müller,deutschland,1
33,Fabian Bredlow,deutschland,1
42,Florian Schock,deutschland,1
5,Konstantinos Mavropanos,griechenland,1
2,Waldemar Anton,deutschland,1
37,Hiroki Ito,japan,1
24,Borna Sosa,kroatien,1
15,Pascal Stenzel,deutschland,1
23,Orel Mangala,belgien,1
3,Wataru Endo,japan,1
16,Atakan Karazor,deutschland,1
32,Naouirou Ahamada,frankreich,1
6,Clinton Mola,england,1
8,Enzo Millot,frankreich,1
28,Nikolas Nartey,dänemark,1
14,Silas Katompa Mvumpa,kongo,1
30,Robert Massimo,deutschland,1
11,Erik Thommy,deutschland,1
20,Philipp Förster,deutschland,1
31,Mateo Klimowicz,deutschland,1
25,Lilian Egloff,deutschland,1
34,Ömer Beyaz,türkei,1
10,Daniel Didavi,deutschland,1
7,Tanguy Coulibaly,frankreich,1
22,Chris Führich,deutschland,1
9,Sasa Kalajdzic,österreich,1
18,Tiago Tomas,portugal,1
17,Omar Marmoush,ägypten,1
19,Wahid Faghir,dänemark,1
50,Alexis Tibidi,frankreich,1
44,Mohamed Sankoh,niederlande,1
Mainz,Mainz 05,deutschland,2
Nürnberg,1.FC Nürnberg,deutschland,2
Stuttgart,VfB Stuttgart 2,deutschland,2
London,FC Arsenal,england,2
Hannover,Hannover 96,deutschland,2
Iwata,Jubilo Iwata,japan,2
Zagreb,Dinamo Zagreb,kroatien,2
Freiburg,SC Freiburg,deutschland,2
Hamburg,Hamburger SV,deutschland,2
St. Truiden,VV St. Truiden,belgien,2
Kiel,Holstein Kiel,deutschland,2
Piemont,Juventus U23,italien,2
Chelsea,Chelsea U23,england,2
Monaco,AS Monaco,frankreich,2
Sandhausen,SV Sandhausen,deutschland,2
Paris,Paris FC,frankreich,2
Bielefeld,Arm. Bielefeld,deutschland,2
Düsseldorf,F.Düsseldorf,deutschland,2
Sandhausen,SV Sandhausen,deutschland,2
Cordoba,Instituto AC,argentinien,2
Stuttgart,Stuttgart U19,deutschland,2
Istanbul,Fenerbahce,türkei,2
Wolfsburg,VfL Wolfsburg,deutschland,2
Paris,Paris SG U19,frankreich,2
Paderborn,SC Paderborn,deutschland,2
Mödling,Admira Wacker,österreich,2
Stuttgart,VfB Stuttgart,deutschland,2
Stuttgart,VfB Stuttgart,deutschland,2
Vejle,Vejle BK,dänemark,2
Stuttgart,Stuttgart U19,deutschland,2
Stuttgart,VfB Stuttgart 2,deutschland,2
,,,
deutschland,,,
griechenland,,,
usbekistan,,,
japan,,,
kroatien,,,
belgien,,,
kongo,,,
frankreich,,,
komoren,,,
england,,,
martinique,,,
dänemark,,,
ghana,,,
italien,,,
argentinien,,,
türkei,,,
benin,,,
elfenbeinküste,,,
österreich,,,
serbien,,,
portugal,,,
ägypten,,,
kanada,,,
afghanistan,,,
kamerun,,,
niederlande,,,
sierra leone,,,
